v8-version,7,9,218,0,0
shared-library,/home/yankun/workspace/rust/deno/target/debug/deno,0x563e7043c000,0x563e74820000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.27.so,0x7f48107b6000,0x7f4810953000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.27.so,0x7f4810b54000,0x7f4810d3b000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f4810f45000,0x7f4810f5c000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.27.so,0x7f481115d000,0x7f4811177000,0
shared-library,/lib/x86_64-linux-gnu/librt.so,0x7f481137c000,0x7f4811383000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.27.so,0x7f4811584000,0x7f4811587000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.27.so,0x7f4811788000,0x7f48117af000,0
shared-library,[vdso],0x7fff303b9000,0x7fff303bb000,0
shared-library,[vsyscall],0xffffffffff600000,0xffffffffff601000,0
profiler,begin,1000
tick,0x7f4810c63d19,553,0,0x0,6
tick,0x563e71cfcb49,1608,0,0x0,6
tick,0x563e71c934f9,2686,0,0x0,6
code-creation,Builtin,3,3294,0x563e7258cce0,1690,RecordWrite
code-creation,Builtin,3,3303,0x563e7258d380,521,EphemeronKeyBarrier
code-creation,Builtin,3,3308,0x563e7258d5a0,487,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,3314,0x563e7258d7a0,289,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,3319,0x563e7258d8e0,293,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3325,0x563e7258da20,368,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3331,0x563e7258dba0,393,CallFunction_ReceiverIsAny
code-creation,Builtin,3,3336,0x563e7258dd40,181,CallBoundFunction
code-creation,Builtin,3,3341,0x563e7258de00,128,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3347,0x563e7258dea0,128,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3352,0x563e7258df40,128,Call_ReceiverIsAny
code-creation,Builtin,3,3357,0x563e7258dfe0,1696,CallProxy
code-creation,Builtin,3,3362,0x563e7258e6a0,149,CallVarargs
code-creation,Builtin,3,3367,0x563e7258e740,3042,CallWithSpread
code-creation,Builtin,3,3372,0x563e7258f340,3528,CallWithArrayLike
code-creation,Builtin,3,3377,0x563e72590120,100,CallForwardVarargs
code-creation,Builtin,3,3382,0x563e725901a0,100,CallFunctionForwardVarargs
code-creation,Builtin,3,3387,0x563e72590220,1167,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,3393,0x563e725906c0,2506,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,3399,0x563e725910a0,2764,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,3405,0x563e72591b80,128,ConstructFunction
code-creation,Builtin,3,3411,0x563e72591c20,231,ConstructBoundFunction
code-creation,Builtin,3,3416,0x563e72591d20,51,ConstructedNonConstructable
code-creation,Builtin,3,3421,0x563e72591d60,86,Construct
code-creation,Builtin,3,3426,0x563e72591dc0,149,ConstructVarargs
code-creation,Builtin,3,3431,0x563e72591e60,3156,ConstructWithSpread
code-creation,Builtin,3,3436,0x563e72592ac0,3966,ConstructWithArrayLike
code-creation,Builtin,3,3441,0x563e72593a40,139,ConstructForwardVarargs
code-creation,Builtin,3,3447,0x563e72593ae0,139,ConstructFunctionForwardVarargs
code-creation,Builtin,3,3452,0x563e72593b80,352,JSConstructStubGeneric
code-creation,Builtin,3,3457,0x563e72593d00,277,JSBuiltinsConstructStub
code-creation,Builtin,3,3463,0x563e72593e20,3310,FastNewObject
code-creation,Builtin,3,3467,0x563e72594b20,1275,FastNewClosure
code-creation,Builtin,3,3472,0x563e72595020,449,FastNewFunctionContextEval
code-creation,Builtin,3,3478,0x563e72595200,449,FastNewFunctionContextFunction
code-creation,Builtin,3,3483,0x563e725953e0,1254,CreateRegExpLiteral
code-creation,Builtin,3,3488,0x563e725958e0,1791,CreateEmptyArrayLiteral
code-creation,Builtin,3,3493,0x563e72595fe0,4316,CreateShallowArrayLiteral
code-creation,Builtin,3,3499,0x563e725970c0,8146,CreateShallowObjectLiteral
code-creation,Builtin,3,3504,0x563e725990a0,1966,ConstructProxy
code-creation,Builtin,3,3509,0x563e72599860,188,JSEntry
code-creation,Builtin,3,3514,0x563e72599920,188,JSConstructEntry
code-creation,Builtin,3,3518,0x563e725999e0,188,JSRunMicrotasksEntry
code-creation,Builtin,3,3524,0x563e72599aa0,118,JSEntryTrampoline
code-creation,Builtin,3,3529,0x563e72599b20,118,JSConstructEntryTrampoline
code-creation,Builtin,3,3539,0x563e72599ba0,560,ResumeGeneratorTrampoline
code-creation,Builtin,3,3544,0x563e72599de0,3633,StringCharAt
code-creation,Builtin,3,3549,0x563e7259ac20,4168,StringCodePointAt
code-creation,Builtin,3,3554,0x563e7259bc80,6048,StringFromCodePointAt
code-creation,Builtin,3,3559,0x563e7259d440,3222,StringEqual
code-creation,Builtin,3,3564,0x563e7259e0e0,2086,StringGreaterThan
code-creation,Builtin,3,3569,0x563e7259e920,2086,StringGreaterThanOrEqual
code-creation,Builtin,3,3574,0x563e7259f160,4714,StringIndexOf
code-creation,Builtin,3,3579,0x563e725a03e0,2086,StringLessThan
code-creation,Builtin,3,3584,0x563e725a0c20,2086,StringLessThanOrEqual
